name,long,lat,location
大武 (DAWU),120.90369999999999,22.3556,臺東縣大武鄉大武街115號
成功 (CHENGGONG),120.9037,22.3556,臺東縣大武鄉大武街115號
蘭嶼 (LANYU),121.37339999999999,23.0974,臺東縣成功鎮公民路84號
臺東 (TAITUNG),121.5583,22.0369,臺東縣蘭嶼鄉紅頭村2號
太麻里 (Taimali),121.0703,23.1504,臺東縣海端鄉廢棄下馬派出所旁
知本 (Jhihben),120.9853,22.609,臺東縣太麻里鄉(往金針山茶區之半路上)
鹿野 (Luye),121.0056,22.6848,臺東縣卑南鄉溫泉村(溫泉國小之樂山分校內)
綠島 (Ludao),121.1229,22.9177,臺東縣鹿野鄉鹿野高台高眺亭公廁東側草地上
池上 (Chihshang),121.4753,22.6672,臺東縣綠島鄉
向陽 (Siangyang),121.2094,23.1196,臺東縣池上鄉新興村104號(退輔會臺東農場內)
紅石 (Hongshih),120.9861,23.2483,臺東縣海端鄉向陽(公路局向陽工務段圍牆內)
大溪山 (Dasishan),121.1262,23.0691,臺東縣海端鄉紅石(紅石瞭望臺旁)
金崙 (Jinlun),120.9433,22.4784,臺東縣太麻里鄉多良村(廢棄中華電信轉播站旁)
東河 (Donghe),120.62212890679747,22.770303784162582,臺南市東山區東河里54號(東河水利工作站)
東河 (Donghe),120.62212890679747,22.770303784162582,臺東縣太麻里鄉金崙段0304-1地號
長濱 (Changbin),121.3039,22.9726,臺東縣東河鄉北東河17鄰26號(東河國民小學操場旁)
南田 (Nantian),121.4119,23.2868,臺東縣長濱鄉竹湖村移民橋後方山頂三角點旁
關山 (Guanshan),120.8892,22.2797,臺南市白河區大棟山三角點
關山 (Guanshan),120.8892,22.2797,臺東縣達仁鄉南田村南田風景區公園對面
蘭嶼高中 (Lanyu High School),121.175,23.0395,臺東縣關山鎮親水公園內
蘭嶼燈塔 (Lanyu Lighthouse),121.5121,22.049000000000003,臺東縣蘭嶼鄉椰油村37號（蘭嶼高中內）
東吉島 (DONGJIDAO),119.66739999999999,23.2569,澎湖縣望安鄉東吉村156號
澎湖 (PENGHU),119.66740000000001,23.2569,澎湖縣望安鄉東吉村156號
西嶼 (Xiyu),119.563,23.5655,澎湖縣望安鄉東吉村156號
花嶼 (Huayu),119.4684,23.5626,澎湖縣西嶼鄉195號(西嶼燈塔西方)
金門 (KINMEN),118.2892,24.4073,金門縣金城鎮金水里西海路一段250號
金沙 (Jinsha),118.2892,24.4073,金門縣金城鎮金水里西海路一段250號
金寧 (Jinning),118.4087,24.4882,金門縣金沙鎮環島北路四段465號(金門縣自來水廠榮湖淨水場)
烏坵 (Wuqiu),118.3289,24.4577,金門縣金寧鄉頂林路315號(金門縣消防局)
馬祖 (MATSU),119.9234,26.1692,連江縣南竿鄉四維村6鄰88號
東莒 (Dongju),119.9234,26.1692,連江縣南竿鄉四維村6鄰88號
東引 (Dongyin) (撤銷站),119.9806,25.9652,連江縣莒光鄉福正村1號(福正抽水機房，莒光遊客中心後方)
花蓮 (HUALIEN),121.61319999999999,23.9751,花蓮縣花蓮市花崗街24號
大禹嶺 (Dayuling),121.6132,23.9751,花蓮縣花蓮市花崗街24號
天祥 (Tianxiang),121.316,24.1861,花蓮縣秀林鄉立霧溪事業區67林班地(救國團大禹山莊)
