,ID,name,long,lat
0,466910,鞍部 (ANBU),121.5297,25.1825
1,466920,臺北 (TAIPEI),121.5297,25.1825
2,466921,臺北(師院) (TAIPEI) (撤銷站),121.5148,25.0376
3,466930,竹子湖 (ZHUZIHU),121.5132,25.0362
4,C0A980,社子 (Shezih),121.5445,25.1620
5,C0A770,科教館 (Science Education Center),121.4696,25.1095
6,C0A9C0,天母 (Tianmu),121.5165,25.0963
7,C0A9F0,內湖 (Neihu),121.5371,25.1174
8,C0AH40,平等 (Pingdeng),121.5371,25.1174
9,C0AH70,松山 (Songshan),121.5770,25.1291
10,C0AI40,石牌 (Shipai),121.5754,25.0794
11,C0AC40,大屯山 (Datunshan),121.5131,25.1155
12,C0AC70,信義 (Xinyi),121.5224,25.1756
13,C0AC80,文山 (Wenshan),121.5645,25.0378
14,C1AC50,關渡 (Guandu),121.5757,25.0023
15,C1AI50,國三N016K (Freeway No. 3 N016K),121.4693,25.1334
16,C1A730,公館 (Gongguan) (撤銷站),121.6196,25.0341
17,C0A9G0,南港 (Nangang) (撤銷站),121.5395,25.0143
18,C0A9E0,士林 (Shihlin) (撤銷站),121.6029,25.0554
19,C0A990,大崙尾山 (Dalunweishan) (撤銷站),121.5030,25.0902
20,C0A9A0,大直 (Dazhi) (撤銷站),121.5735,25.1062
21,C0A9B0,石牌 (Shipai) (撤銷站),121.5428,25.0780
22,466880,板橋 (BANQIAO),121.4420,24.9976
23,466900,淡水 (TAMSUI),121.4420,24.9976
24,C0A520,山佳 (Shanjia),121.4489,25.1648
25,C0A530,坪林 (Pinglin),121.4020,24.9749
26,C0A540,四堵 (Sihdu),121.7097,24.9381
27,C0A550,泰平 (Taiping),121.7457,24.8926
28,C0A560,福山 (Fushan),121.8237,24.9711
29,C0A570,桶後 (Tonghou),121.5028,24.7762
30,C0A640,石碇 (Shihding),121.5979,24.8482
31,C0A650,火燒寮 (Huoshaoliao),121.6629,24.9939
32,C0A660,瑞芳 (Rueifang),121.7428,25.0027
33,C0A931,三和 (Sanhe),121.8011,25.1131
34,C0A940,金山 (Jinshan),121.5952,25.2331
35,C0A950,鼻頭角 (Bitoujiao),121.6439,25.2236
36,C0A970,三貂角 (Sandiaojiao),121.9233,25.1290
37,C0A860,大坪 (Daping),122.0020,25.0076
38,C0A870,五指山 (Wujhihshan),121.6329,25.1659
39,C0A880,福隆 (Fulong),121.6086,25.1321
40,C0A890,雙溪 (Shuangsi),121.9420,25.0178
41,C0A920,富貴角 (Fugueijiao),121.8642,25.0360
42,C0AH00,汐止 (Xizhi),121.5652,25.2637
43,C0AH10,永和 (Yonghe),121.6587,25.0668
44,C0AH30,五分山 (Wufengshan),121.5081,25.0112
45,C0AH50,林口 (Linkou),121.7807,25.0712
46,C0AH80,深坑 (Shenkeng),121.3808,25.0721
47,C0AH90,福山植物園 (Fushan Botanical Garden),121.6283,25.0027
48,C0AI00,五股 (Wugu),121.5813,24.7607
49,C0AI10,屈尺 (Quchi),121.4272,25.0744
50,C0AI20,白沙灣 (Baishawan),121.5447,24.9218
51,C0AI30,三重 (Sanchong),121.5190,25.2831
52,C0AJ10,澳底 (AODI),121.5006,25.0573
53,C0AJ20,野柳 (YEHLIOU),121.9272,25.0571
54,C0AJ30,淡水觀海 (DANSHUEI GUANHAI),121.6900,25.2070
55,C0AJ40,石門 (SHIMEN),121.4086,25.1845
56,C0AJ50,水湳洞 (SHUINANDONG),121.6011,25.2736
57,C0AC60,三峽 (Sanshia),121.8622,25.1236
58,C0ACA0,新莊 (Xinzhuang),121.3697,24.9390
59,C0AD00,三芝 (Sanzhi),121.4467,25.0514
60,C0AD10,八里 (Bali),121.5019,25.2581
61,C0AD30,蘆洲 (Lujhou),121.4039,25.1502
62,C0AD40,土城 (Tucheng),121.4723,25.0865
63,C0AD50,鶯歌 (Yingge),121.4451,24.9732
64,C0AG80,中和 (Zhonghe),121.3462,24.9515
65,C1A630,下盆 (Siapen),121.4917,24.9916
66,C1A750,石碇服務區 (Shiding Service Area),121.5386,24.7710
67,C1A760,坪林交控 (Pinglin Traffic Control Center),121.6462,25.0087
68,C1A9N0,四十份 (Sihshihfen),121.7134,24.9428
69,C1AI60,國一N039K (Freeway No. 1 N039K),121.5932,24.9341
70,C0AG90,中和 (Zhonghe) (撤銷站),121.3838,25.0643
71,C0AD20,深坑 (Shenkeng) (撤銷站),121.4904,24.9926
72,C0AC90,中和 (Zhonghe) (撤銷站),121.6175,25.0013
73,C0A9I0,三重 (Sanchong) (撤銷站),121.5160,24.9901
74,C0A9D0,永和 (Yonghe) (撤銷站),121.4884,25.0640
75,C0A930,三和 (Sanhe) (撤銷站),121.5047,25.0089
76,C0A680,五股 (Wugu) (撤銷站),121.5940,25.2348
77,C0A710,林口 (Linkou) (撤銷站),121.4349,25.0833
78,C0A580,屈尺 (Cyuchih) (撤銷站),121.3782,25.0763
79,C0A590,大尖山 (Dajianshan) (撤銷站),121.5463,24.9224
80,467490,臺中 (TAICHUNG),120.6840,24.1457
81,467770,梧棲 (WUQI) (撤銷站),120.6840,24.1457
82,C0F000,大肚 (Dadu),120.5233,24.2560
83,C0F0A0,雪山圈谷 (Xueshanjuangu),120.5721,24.1529
84,C0F0B0,石岡 (Shigang),121.2363,24.3885
85,C0F0C0,中坑 (Zhongkeng),120.7776,24.2760
86,C0F0D0,審馬陣 (Shenmazhen),120.9033,24.2485
87,C0F0E0,南湖圈谷 (Nanhuquangu),121.4203,24.3816
88,C0F850,東勢 (Dongshi),121.4446,24.3637
89,C0F861,梨山 (Lishan),120.8330,24.2464
90,C0F9A0,中竹林 (Zhongzhulin),121.2436,24.2475
91,C0F9I0,神岡 (Shengang),120.7510,24.1035
92,C0F9K0,大安 (Da-an),120.6583,24.2724
93,C0F9L0,后里 (Houli),120.5880,24.3450
94,C0F9M0,豐原 (Fengyuan),120.7297,24.3104
95,C0F9N0,大里 (Dali),120.7206,24.2543
96,C0F9O0,潭子 (Tanzi),120.7013,24.0924
97,C0F9P0,清水 (Qingshui),120.7039,24.2131
98,C0F9Q0,外埔 (Waipu),120.5622,24.3122
99,C0F9R0,龍井 (Longjing),120.7056,24.3478
100,C0F9S0,烏日 (Wuri),120.5289,24.1845
101,C0F9T0,西屯 (Xitun),120.6241,24.1070
102,C0F9U0,南屯 (Nantun),120.6412,24.1794
103,C0F9V0,新社 (Xinshe),120.6379,24.1370
104,C0F9X0,大雅(中科園區) (Daya),120.8158,24.2001
105,C0F9Y0,桃山 (Taoshan),120.6244,24.2152
106,C0F9Z0,雪山東峰 (Xueshandongfeng),121.3038,24.4327
107,C0FA00,烏石坑 (Shinmei),121.2686,24.3887
108,C0FA10,松柏 (SONGBAI),120.9476,24.2735
109,C0FA20,溫寮 (WUNLIAO),120.6174,24.4291
110,C0FA30,梧棲 (WUQI),120.5831,24.3721
111,C0F930,大甲 (Dajia),120.5233,24.2560
