,ID,name,long,lat,location
0,466910,鞍部 (ANBU),121.5297,25.1825,臺北市北投區陽明山竹子湖路111號
1,466920,臺北 (TAIPEI),121.5148,25.0376,臺北市北投區陽明山竹子湖路111號
2,466921,臺北(師院) (TAIPEI) (撤銷站),121.5148,25.0376,臺北市中正區公園路64號
3,466930,竹子湖 (ZHUZIHU),121.5445,25.1620,臺北市北投區陽明山竹子湖路2號
4,C0A980,社子 (Shezih),121.4696,25.1095,臺北市士林區延平北路九段212號(臺北海洋科技大學內)
5,C0A770,科教館 (Science Education Center),121.5165,25.0963,臺北市士林區延平北路九段212號(臺北海洋科技大學內)
6,C0A9C0,天母 (Tianmu),121.5371,25.1174,臺北市士林區天母東路116號(三玉國小內)
7,C0A9F0,內湖 (Neihu),121.5754,25.0794,臺北市內湖區內湖路一段520號(內湖高工內)
8,C0AH40,平等 (Pingdeng),121.5770,25.1291,臺北市士林區平菁街101號(平等國小)
9,C0AH70,松山 (Songshan),121.5504,25.0487,臺北市士林區平菁街101號(平等國小)
10,C0AI40,石牌 (Shipai),121.5504,25.0487,臺北市松山區敦化北路1號(臺北市松山運動中心)
11,C0AC40,大屯山 (Datunshan),121.5224,25.1756,臺北市北投區湖田段461-6地號(民航局大屯山助航臺)
12,C0AC70,信義 (Xinyi),121.5645,25.0378,臺北市信義區市府路1號(台北市政府頂樓)
13,C0AC80,文山 (Wenshan),121.5757,25.0023,臺北市文山區木柵路4段159巷14-1號(博嘉國小校園內)
14,C1AC50,關渡 (Guandu),121.5757,25.1334,臺北市文山區木柵路4段159巷14-1號(博嘉國小校園內)
15,C1AI50,國三N016K (Freeway No. 3 N016K),121.6196,25.0341,臺北市國道3號北向16.51K
16,C1A730,公館 (Gongguan) (撤銷站),121.5395,25.0143,臺北市大安區羅斯福路四段1號(臺灣大學大氣科學系觀測坪內)
17,C0A9G0,南港 (Nangang) (撤銷站),121.6029,25.0554,臺北市大安區羅斯福路四段1號(臺灣大學大氣科學系觀測坪內)
18,C0A9E0,士林 (Shihlin) (撤銷站),121.5030,25.0902,臺北市士林區延平北路6段308號(社子國小內)
19,C0A990,大崙尾山 (Dalunweishan) (撤銷站),121.5735,25.1062,臺北市內湖區大崙尾山(內雙溪森林公園)
