縣市別,年份,調查站_座標_經度,調查站_座標_緯度,總計_流量(PCU)
新北市,106,121.30123,25.0324,"87,971"
新北市,106,121.30123,25.0324,"88,241"
新北市,106,121.27165,25.03381,"29,938"
新北市,106,121.27165,25.03381,"16,392"
新北市,106,121.2739,25.03380,"24,056"
新北市,106,121.2739,25.03380,"31,136"
新北市,106,121.25146,25.01560,"28,145"
新北市,106,121.25146,25.01560,"25,295"
桃園縣,106,121.24195,25.0155,"40,715"
桃園縣,106,121.24195,25.0155,"33,775"
桃園縣,106,121.21492,25.03484,"18,553"
桃園縣,106,121.21492,25.03484,"12,255"
桃園縣,106,121.19588,24.59498,"28,724"
桃園縣,106,121.19588,24.59498,"30,603"
桃園縣,106,121.16108,24.58384,"29,936"
桃園縣,106,121.16108,24.58384,"36,950"
桃園縣,106,121.13543,24.57490,"34,473"
桃園縣,106,121.13543,24.57490,"37,416"
桃園縣,106,121.12232,24.56572,"15,577"
桃園縣,106,121.12232,24.56572,"16,190"
桃園縣,106,121.11153,24.55234,"23,780"
桃園縣,106,121.11153,24.55234,"26,442"
桃園縣,106,121.08435,24.54248,"18,766"
桃園縣,106,121.08435,24.54248,"20,069"
新竹縣,106,121.05147,24.53166,"10,949"
新竹縣,106,121.05147,24.53166,"8,144"
新竹縣,106,121.01413,24.5300,"6,816"
新竹縣,106,121.01413,24.5300,"5,846"
新竹縣,106,121.00139,24.51110,"32,006"
新竹縣,106,121.00139,24.51110,"31,767"
新竹縣,106,120.59495,24.49310,"35,081"
新竹縣,106,120.59495,24.49310,"51,386"
新竹市,106,120.5821,24.48491,"22,156"
新竹市,106,120.5821,24.48491,"20,967"
新竹市,106,120.56121,24.47269,"17,658"
新竹市,106,120.56121,24.47269,"16,982"
新竹縣,106,120.54579,24.43521,"10,946"
新竹縣,106,120.54579,24.43521,"9,760"
新北市,106,121.30150,25.03504,"55,978"
新北市,106,121.30150,25.03504,"51,967"
新北市,106,121.29211,25.03302,"26,647"
新北市,106,121.29211,25.03302,"23,506"
新北市,106,121.26549,25.0268,"37,369"
新北市,106,121.26549,25.0268,"33,495"
桃園縣,106,121.2298,25.00274,"10,010"
桃園縣,106,121.2298,25.00274,"16,508"
桃園縣,106,121.19160,24.59294,"26,130"
桃園縣,106,121.19160,24.59294,"28,037"
桃園縣,106,121.18165,24.59232,"22,342"
桃園縣,106,121.18165,24.59232,"19,723"
新北市,106,121.27344,25.0862,"65,143"
新北市,106,121.27344,25.0862,"63,699"
新北市,106,121.27328,25.09251,"60,597"
新北市,106,121.27328,25.09251,"60,941"
新北市,106,121.27264,25.10302,"33,013"
新北市,106,121.27264,25.10302,"33,997"
新北市,106,121.26536,25.11576,"21,340"
新北市,106,121.26536,25.11576,"21,238"
新北市,106,121.29458,25.15356,"12,918"
新北市,106,121.29458,25.15356,"13,002"
新北市,106,121.33521,25.17279,"6,394"
新北市,106,121.33521,25.17279,"6,737"
新北市,106,121.38543,25.12386,"12,915"
新北市,106,121.38543,25.12386,"12,637"
新北市,106,121.40372,25.1218,"11,891"
新北市,106,121.40372,25.1218,"11,117"
新北市,106,121.41311,25.10473,"11,803"
新北市,106,121.41311,25.10473,"12,719"
基隆市,106,121.4209,25.08537,"21,874"
基隆市,106,121.4209,25.08537,"23,819"
基隆市,106,121.4774,25.08409,"10,388"
基隆市,106,121.4774,25.08409,"10,249"
新北市,106,121.49250,25.07160,"11,364"
新北市,106,121.49250,25.07160,"11,013"
新北市,106,121.54519,25.04460,"6,979"
新北市,106,121.54519,25.04460,"7,137"
新北市,106,121.56448,25.0107,"6,637"
新北市,106,121.56448,25.0107,"7,072"
新北市,106,121.36505,25.1352,"2,738"
新北市,106,121.36505,25.1352,"2,817"
新北市,106,121.27234,25.09321,"25,922"
新北市,106,121.27234,25.09321,"26,223"
新北市,106,121.26213,25.10219,"15,542"
新北市,106,121.26213,25.10219,"10,686"
基隆市,106,121.4491,25.0670,"11,146"
基隆市,106,121.4491,25.0670,"10,707"
新北市,106,121.46204,25.03112,"3,801"
新北市,106,121.46204,25.03112,"3,923"
新北市,106,121.46468,25.02169,"3,041"
新北市,106,121.46468,25.02169,"2,943"
新北市,106,121.50549,25.0262,"2,498"
新北市,106,121.50549,25.0262,"2,405"
新北市,106,121.53262,25.01198,"1,951"
新北市,106,121.53262,25.01198,"1,858"
新北市,106,121.47432,25.06370,"5,332"
新北市,106,121.47432,25.06370,"5,795"
新北市,106,121.29130,25.0287,"63,408"
新北市,106,121.29130,25.0287,"63,898"
新北市,106,121.26463,24.59205,"16,607"
新北市,106,121.26463,24.59205,"18,422"
新北市,106,121.25300,24.57445,"20,409"
新北市,106,121.25300,24.57445,"17,498"
新北市,106,121.23441,24.56189,"7,017"
新北市,106,121.23441,24.56189,"5,199"
新北市,106,121.22304,24.55485,"11,132"
新北市,106,121.22304,24.55485,"11,664"
桃園縣,106,121.1815,24.53366,"5,362"
桃園縣,106,121.1815,24.53366,"4,988"
桃園縣,106,121.17148,24.53123,"18,977"
桃園縣,106,121.17148,24.53123,"19,739"
桃園縣,106,121.16457,24.53384,"21,878"
桃園縣,106,121.16457,24.53384,"21,892"
桃園縣,106,121.16183,24.53266,"18,551"
桃園縣,106,121.16183,24.53266,"19,419"
桃園縣,106,121.15304,24.52440,"7,158"
桃園縣,106,121.15304,24.52440,"7,251"
桃園縣,106,121.1303,24.5235,"12,462"
桃園縣,106,121.1303,24.5235,"12,532"
桃園縣,106,121.12214,24.49427,"8,006"
桃園縣,106,121.12214,24.49427,"7,884"
新竹縣,106,121.10178,24.45318,"4,967"
新竹縣,106,121.10178,24.45318,"5,182"
新竹縣,106,121.06344,24.43183,"10,649"
新竹縣,106,121.06344,24.43183,"10,773"
新竹縣,106,121.04540,24.43301,"8,387"
新竹縣,106,121.04540,24.43301,"8,352"
新竹縣,106,121.01207,24.41119,"2,914"
新竹縣,106,121.01207,24.41119,"2,826"
桃園縣,106,121.15497,24.52398,"8,935"
桃園縣,106,121.15497,24.52398,"8,586"
桃園縣,106,121.14305,24.49384,"6,144"
桃園縣,106,121.14305,24.49384,"6,650"
桃園縣,106,121.12261,24.49325,"5,566"
桃園縣,106,121.12261,24.49325,"6,095"
桃園縣,106,121.1640,25.03441,"13,813"
桃園縣,106,121.1640,25.03441,"14,184"
桃園縣,106,121.18102,25.01570,"36,900"
桃園縣,106,121.18102,25.01570,"22,302"
桃園縣,106,121.18255,24.59532,"30,338"
桃園縣,106,121.18255,24.59532,"26,987"
桃園縣,106,121.17548,24.57120,"22,761"
桃園縣,106,121.17548,24.57120,"22,740"
桃園縣,106,121.17317,24.5597,"17,022"
桃園縣,106,121.17317,24.5597,"16,597"
桃園縣,106,121.16449,24.53118,"10,113"
桃園縣,106,121.16449,24.53118,"8,832"
桃園縣,106,121.16425,24.52295,"8,347"
桃園縣,106,121.16425,24.52295,"7,366"
桃園縣,106,121.16586,24.51249,"7,032"
桃園縣,106,121.16586,24.51249,"7,323"
桃園縣,106,121.15155,24.49268,"4,632"
桃園縣,106,121.15155,24.49268,"4,185"
新北市,106,121.37205,25.03179,"44,928"
新北市,106,121.37205,25.03179,"30,159"
新北市,106,121.37521,25.03177,"38,521"
新北市,106,121.37521,25.03177,"30,447"
新北市,106,121.38485,25.03399,"30,059"
新北市,106,121.38485,25.03399,"30,037"
新北市,106,121.40268,25.03558,"13,648"
新北市,106,121.40268,25.03558,"13,848"
基隆市,106,121.42135,25.04573,"16,029"
基隆市,106,121.42135,25.04573,"15,121"
基隆市,106,121.44260,25.06479,"15,770"
基隆市,106,121.44260,25.06479,"15,576"
新北市,106,121.3893,25.03297,"21,779"
新北市,106,121.3893,25.03297,"27,742"
新北市,106,121.39392,25.0468,"17,978"
新北市,106,121.39392,25.0468,"18,491"
基隆市,106,121.41261,25.04411,"6,661"
基隆市,106,121.41261,25.04411,"8,099"
桃園縣,106,121.1795,24.50399,"8,835"
桃園縣,106,121.1795,24.50399,"8,488"
桃園縣,106,121.18211,24.49493,"6,775"
桃園縣,106,121.18211,24.49493,"6,639"
桃園縣,106,121.19529,24.4953,"6,141"
桃園縣,106,121.19529,24.4953,"6,091"
桃園縣,106,121.21567,24.47321,"2,732"
桃園縣,106,121.21567,24.47321,"2,963"
桃園縣,106,121.23121,24.40433,822
桃園縣,106,121.23121,24.40433,763
桃園縣,106,121.19508,24.5070,"1,630"
桃園縣,106,121.19508,24.5070,"1,692"
新北市,106,121.22371,24.5326,"3,290"
新北市,106,121.22371,24.5326,"3,365"
新北市,106,121.32290,24.58581,"32,353"
新北市,106,121.32290,24.58581,"26,883"
新北市,106,121.32348,24.57105,"20,898"
新北市,106,121.32348,24.57105,"22,034"
新北市,106,121.33304,24.57151,"6,682"
新北市,106,121.33304,24.57151,"6,751"
新北市,106,121.37563,24.5777,"2,184"
新北市,106,121.37563,24.5777,"2,257"
新北市,106,121.42391,24.5639,"2,474"
新北市,106,121.42391,24.5639,"2,224"
新北市,106,121.43120,24.5481,"1,615"
新北市,106,121.43120,24.5481,"1,215"
新北市,106,121.32457,24.56564,"8,624"
新北市,106,121.32457,24.56564,"8,788"
新北市,106,121.32558,24.53319,"3,706"
新北市,106,121.32558,24.53319,"3,823"
新竹市,106,120.54222,24.44254,"5,869"
新竹市,106,120.54222,24.44254,"6,543"
新北市,106,121.27262,25.07321,"48,116"
新北市,106,121.27262,25.07321,"47,095"
新北市,106,121.26462,25.08450,"17,533"
